Date,Open,High,Low,Close,Adj Close,Volume
2022-04-04,253.100006,257.899994,251.100006,255.449997,245.720154,15907398
2022-04-05,256.049988,261.850006,255.100006,259.450012,249.567810,27183142
2022-04-06,257.500000,263.350006,257.299988,259.600006,249.712097,19597941
2022-04-07,258.000000,262.200012,255.800003,256.649994,246.874451,16061089
2022-04-08,258.000000,268.850006,256.000000,267.799988,257.599731,37826800
2022-04-11,268.750000,273.149994,266.000000,267.500000,257.311157,46147653
2022-04-12,266.899994,268.649994,263.100006,264.799988,254.714005,23553762
2022-04-13,265.299988,270.600006,263.649994,269.549988,259.283081,21414383
2022-04-18,268.000000,272.500000,267.250000,270.100006,259.812164,24399444
2022-04-19,272.000000,272.500000,258.799988,261.549988,251.587799,23380138
2022-04-20,262.899994,265.450012,257.549988,259.549988,249.663986,24510612
2022-04-21,259.700012,264.450012,259.600006,260.399994,250.481613,23412279
2022-04-22,260.000000,263.000000,258.549988,261.100006,251.154968,15671273
2022-04-25,258.799988,259.000000,252.500000,255.250000,245.527786,24208645
2022-04-26,256.600006,260.700012,256.250000,258.950012,249.086853,20536714
2022-04-27,256.200012,258.500000,255.750000,257.500000,247.692078,16580824
2022-04-28,259.500000,263.700012,258.149994,261.100006,251.154968,27924384
2022-04-29,263.000000,263.000000,258.500000,259.549988,249.663986,20419904
2022-05-02,258.000000,264.500000,257.049988,263.149994,253.126862,18965820
2022-05-04,264.000000,266.049988,258.600006,259.750000,249.856369,25951999
2022-05-05,262.000000,265.200012,260.399994,262.049988,252.068741,17932895
2022-05-06,259.000000,267.350006,258.899994,266.649994,256.493561,34490123
2022-05-09,266.149994,266.149994,260.549988,262.950012,252.934479,21403710
2022-05-10,262.000000,266.799988,259.100006,259.750000,249.856369,18033260
2022-05-11,259.000000,262.200012,251.750000,255.649994,245.912537,17344099
2022-05-12,255.000000,256.399994,249.149994,252.899994,243.267273,20044726
2022-05-13,254.949997,260.850006,254.500000,258.600006,248.750183,11921627
2022-05-16,259.950012,259.950012,253.000000,254.100006,244.421585,8186859
2022-05-17,255.000000,265.500000,254.800003,264.700012,254.617844,17797974
2022-05-18,266.000000,267.799988,263.149994,266.799988,256.637817,20200332
2022-05-19,262.600006,279.250000,262.600006,275.649994,265.150757,78287713
2022-05-20,277.000000,282.350006,277.000000,280.000000,269.335083,32370771
2022-05-23,280.000000,280.450012,273.049988,274.500000,264.044556,21700165
2022-05-24,275.000000,275.000000,270.000000,270.850006,260.533600,15547968
2022-05-25,272.950012,273.899994,270.500000,272.700012,262.313141,15288648
2022-05-26,268.250000,268.250000,263.850006,266.700012,262.559235,18420159
2022-05-27,269.000000,270.700012,265.049988,269.200012,265.020416,13468067
2022-05-30,270.500000,271.000000,267.600006,269.049988,264.872742,11819102
2022-05-31,269.049988,274.500000,266.399994,270.649994,266.447906,23208345
2022-06-01,270.649994,274.100006,270.200012,271.850006,267.629272,14699792
2022-06-02,270.700012,274.450012,267.850006,273.500000,269.253662,14240994
2022-06-03,275.000000,275.700012,271.600006,272.700012,268.466095,12487862
2022-06-06,272.399994,275.799988,269.700012,274.799988,270.533447,10925182
2022-06-07,273.200012,275.000000,272.250000,273.899994,269.647430,10828539
2022-06-08,273.950012,274.399994,266.200012,267.899994,263.740601,14361969
2022-06-09,267.799988,271.700012,265.750000,270.850006,266.644806,9860194
2022-06-10,269.049988,271.000000,268.750000,270.149994,265.955658,8371061
2022-06-13,266.399994,269.100006,263.000000,264.649994,260.541046,11092690
2022-06-14,263.200012,267.450012,263.049988,265.450012,261.328644,7422193
2022-06-15,266.000000,267.299988,263.049988,263.399994,259.310455,5059474
2022-06-16,267.000000,267.899994,259.500000,260.700012,256.652405,14293357
2022-06-17,259.000000,264.149994,258.549988,263.299988,259.212006,16654660
2022-06-20,263.299988,266.149994,261.350006,264.100006,259.999603,17081136
2022-06-21,265.000000,270.850006,264.100006,269.899994,265.709534,13883034
2022-06-22,267.000000,270.299988,264.899994,265.299988,261.180969,11320918
2022-06-23,265.500000,267.250000,262.399994,265.500000,261.377869,9067252
2022-06-24,266.100006,268.350006,265.200012,265.850006,261.722443,7013132
2022-06-27,267.000000,270.649994,266.500000,269.950012,265.758789,8172964
2022-06-28,268.899994,272.250000,268.549988,271.850006,267.629272,11240154
2022-06-29,269.250000,275.000000,269.149994,274.049988,269.795105,16018449
2022-06-30,273.950012,274.700012,272.000000,273.500000,269.253662,19262054
2022-07-01,273.500000,285.000000,271.200012,284.350006,279.935211,35165665
2022-07-04,285.649994,293.299988,284.799988,291.899994,287.367981,39881736
2022-07-05,293.000000,293.000000,285.750000,286.899994,282.445618,18568655
2022-07-06,286.100006,290.000000,285.299988,289.299988,284.808350,18292925
2022-07-07,291.000000,293.149994,288.500000,291.950012,287.417206,13794991
2022-07-08,292.899994,294.450012,290.399994,293.049988,288.500122,11110418
2022-07-11,293.000000,296.950012,292.049988,295.000000,290.419861,12352667
2022-07-12,293.000000,295.350006,290.899994,292.700012,288.155579,14074628
2022-07-13,293.000000,294.799988,292.700012,294.049988,289.484589,9277570
2022-07-14,294.299988,296.350006,289.149994,290.850006,286.334290,13414357
2022-07-15,292.000000,294.000000,289.500000,293.549988,288.992340,11025420
